0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
72   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /home/asdp/projects/BlacklightWALK/jetty/contexts at interval 0
103  [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /home/asdp/projects/BlacklightWALK/jetty/contexts/solr.xml
1457 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
1613 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
1650 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
1650 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /home/asdp/projects/BlacklightWALK/jetty/solr
1651 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/asdp/projects/BlacklightWALK/jetty/solr/'
1775 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /home/asdp/projects/BlacklightWALK/jetty/solr/solr.xml
1971 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /home/asdp/projects/BlacklightWALK/jetty/solr
1997 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 30331305
1998 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/home/asdp/projects/BlacklightWALK/jetty/solr/]
2004 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
2004 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
2006 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
2006 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
2007 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
2007 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
2007 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
2007 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
2008 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
2008 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting useRetries to: false
2364 [main] INFO  org.apache.solr.update.UpdateShardHandler  – Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
2366 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
2366 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
2367 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: null
2411 [main] INFO  org.apache.solr.core.CoresLocator  – Looking for core definitions underneath /home/asdp/projects/BlacklightWALK/jetty/solr
2450 [main] INFO  org.apache.solr.core.CoresLocator  – Found core discovery in /home/asdp/projects/BlacklightWALK/jetty/solr/discovery/
2451 [main] INFO  org.apache.solr.core.CoresLocator  – Found 1 core definitions
2452 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/home/asdp/projects/BlacklightWALK/jetty/solr/discovery/'
